=== [Causal Discovery] Fold 5 (5/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/metadata.json
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.8291113444466895
Test:  CI( 3 , 5 | (0,) ) = 0.2515343100571861
Test:  CI( 4 , 5 | (0,) ) = 0.0
Test:  CI( 4 , 5 | (1,) ) = 0.033871679839047264
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (2,) ) = 0.0
Test:  CI( 0 , 6 | (3,) ) = 0.0
Test:  CI( 0 , 6 | (4,) ) = 2.615685446016869e-13
Test:  CI( 0 , 6 | (5,) ) = 8.881784197001252e-14
Test:  CI( 1 , 6 | (0,) ) = 0.5254463790583976
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 8.369736903546254e-09
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 2.220446049250313e-16
Test:  CI( 4 , 6 | (0,) ) = 0.0
Test:  CI( 4 , 6 | (2,) ) = 0.002337216436174794
Test:  CI( 4 , 6 | (3,) ) = 0.0
Test:  CI( 4 , 6 | (5,) ) = 0.0
Test:  CI( 5 , 6 | (0,) ) = 0.4970544877431671
Test:  CI( 0 , 6 | (2, 3) ) = 0.5199913793725068
Test:  CI( 2 , 6 | (0, 3) ) = 0.0
Test:  CI( 3 , 6 | (0, 2) ) = 0.0
Test:  CI( 4 , 6 | (0, 2) ) = 0.2874475063406825
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/learned_graph_adj.npy
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 0 , 2 | () ) = 0.0
Test:  CI( 1 , 2 | () ) = 0.0
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 0.0
Test:  CI( 2 , 3 | () ) = 0.0
Test:  CI( 0 , 4 | () ) = 0.0
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.0
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.0
Test:  CI( 2 , 5 | () ) = 0.0
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 0.0
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.0
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 2 | (1,) ) = 2.3274776721260437e-05
Test:  CI( 1 , 2 | (0,) ) = 0.06364888609616037
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 0 , 3 | (2,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 0.3749499996792849
Test:  CI( 2 , 3 | (0,) ) = 0.9807502721006673
Test:  CI( 0 , 4 | (1,) ) = 0.48756130042840806
Test:  CI( 1 , 4 | (2,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 2 , 4 | (1,) ) = 0.0
Test:  CI( 2 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.5131446608346333
Test:  CI( 0 , 5 | (1,) ) = 8.114842131590194e-12
Test:  CI( 0 , 5 | (2,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 0.0
Test:  CI( 1 , 5 | (2,) ) = 0.0
Test:  CI( 1 , 5 | (3,) ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.3520417255713575
Test:  CI( 3 , 5 | (0,) ) = 0.2554652812042195
Test:  CI( 4 , 5 | (0,) ) = 9.052536498188601e-12
Test:  CI( 4 , 5 | (1,) ) = 0.1906600530749194
Test:  CI( 0 , 6 | (1,) ) = 3.4890823563671347e-10
Test:  CI( 0 , 6 | (2,) ) = 6.585842982076429e-13
Test:  CI( 0 , 6 | (3,) ) = 1.360229706648397e-10
Test:  CI( 0 , 6 | (4,) ) = 1.465427779123729e-11
Test:  CI( 0 , 6 | (5,) ) = 4.516538254506486e-10
Test:  CI( 1 , 6 | (0,) ) = 0.2647472775683797
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 0.000138320265930858
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 8.7779783441988e-11
Test:  CI( 4 , 6 | (0,) ) = 1.1546319456101628e-14
Test:  CI( 4 , 6 | (2,) ) = 0.027525986312597395
Test:  CI( 5 , 6 | (0,) ) = 0.9885302111797751
Test:  CI( 3 , 6 | (0, 2) ) = 8.881784197001252e-16
Saved metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/performance_metrics.json
Saved baseline metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/pag_vs_pag_metrics.json
Found 2 differences:
  1. Missing: 0 --- 4 (DAG: directed_ij)
  2. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
Found 5 partial orientation differences:
  1. Partial orientation: 0 --- 1 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/edge_comparison.txt
Found 5 differences:
  1. Wrong orientation: 0 --- 2 (DAG: directed_ij, PAG: bidirected)
  2. Missing: 0 --- 4 (DAG: directed_ij)
  3. Extra: 0 --- 6 (PAG: bidirected)
  4. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 3 --- 6 (DAG: directed_ij, PAG: bidirected)
Found 1 partial orientation differences:
  1. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/edge_comparison_baseline.txt
Found 2 differences:
  1. Missing: 0 --- 6 (Reference PAG: bidirected)
  2. Wrong orientation: 3 --- 6 (Reference PAG: bidirected, PAG: directed_ij)
Found 4 partial orientation differences:
  1. Partial orientation: 0 --- 1 (Reference PAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (Reference PAG: bidirected, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (Reference PAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (Reference PAG: directed_ij, PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/pag_vs_dag.png
Saved baseline figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/5/baseline_graph_adj.npy
