=== [Causal Discovery] Fold 1 (1/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/metadata.json
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 1 , 5 | (3,) ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.049134850698766774
Test:  CI( 3 , 5 | (0,) ) = 0.761094898432991
Test:  CI( 4 , 5 | (0,) ) = 0.0
Test:  CI( 4 , 5 | (1,) ) = 0.020306821230185568
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (2,) ) = 0.0
Test:  CI( 0 , 6 | (3,) ) = 2.0911050668814823e-11
Test:  CI( 0 , 6 | (4,) ) = 3.1061009320154653e-09
Test:  CI( 0 , 6 | (5,) ) = 3.1086244689504383e-15
Test:  CI( 1 , 6 | (0,) ) = 0.07153853697230095
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 1.0911271886016038e-12
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 0.0
Test:  CI( 4 , 6 | (0,) ) = 4.440892098500626e-15
Test:  CI( 4 , 6 | (2,) ) = 5.7231897172549395e-06
Test:  CI( 4 , 6 | (3,) ) = 0.0
Test:  CI( 4 , 6 | (5,) ) = 0.0
Test:  CI( 5 , 6 | (0,) ) = 0.07101280225699003
Test:  CI( 0 , 6 | (2, 3) ) = 0.23438210749487887
Test:  CI( 2 , 6 | (0, 3) ) = 0.0
Test:  CI( 3 , 6 | (0, 2) ) = 0.0
Test:  CI( 4 , 6 | (0, 2) ) = 0.8859477905777566
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/learned_graph_adj.npy
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 0 , 2 | () ) = 0.0
Test:  CI( 1 , 2 | () ) = 0.0
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 0.0
Test:  CI( 2 , 3 | () ) = 0.0
Test:  CI( 0 , 4 | () ) = 0.0
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.0
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.0
Test:  CI( 2 , 5 | () ) = 0.0
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 0.0
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.0
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 2 | (1,) ) = 3.693489958322971e-12
Test:  CI( 1 , 2 | (0,) ) = 0.9135717469431728
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 0 , 3 | (2,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 0.4060693406416538
Test:  CI( 2 , 3 | (0,) ) = 0.058552385750555214
Test:  CI( 0 , 4 | (1,) ) = 0.4501715235505599
Test:  CI( 1 , 4 | (2,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 2 , 4 | (1,) ) = 0.0
Test:  CI( 2 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.8020863199951938
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (2,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 0.0
Test:  CI( 1 , 5 | (2,) ) = 0.0
Test:  CI( 1 , 5 | (3,) ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.3976115610919293
Test:  CI( 3 , 5 | (0,) ) = 0.5844272735060572
Test:  CI( 4 , 5 | (0,) ) = 1.1563616730825288e-10
Test:  CI( 4 , 5 | (1,) ) = 0.6738214536374931
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (2,) ) = 0.0
Test:  CI( 0 , 6 | (3,) ) = 2.220446049250313e-16
Test:  CI( 0 , 6 | (4,) ) = 0.0
Test:  CI( 0 , 6 | (5,) ) = 6.661338147750939e-16
Test:  CI( 1 , 6 | (0,) ) = 0.8411070646687566
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 6.841524646739039e-05
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 4.942712905631197e-13
Test:  CI( 4 , 6 | (0,) ) = 3.926636793494254e-12
Test:  CI( 4 , 6 | (2,) ) = 0.0008448336657500555
Test:  CI( 4 , 6 | (3,) ) = 0.0
Test:  CI( 4 , 6 | (5,) ) = 1.4541479131935375e-11
Test:  CI( 5 , 6 | (0,) ) = 0.6397524553042913
Test:  CI( 0 , 6 | (2, 3) ) = 0.8041858719614376
Test:  CI( 2 , 6 | (0, 3) ) = 0.0
Test:  CI( 3 , 6 | (0, 2) ) = 0.0
Test:  CI( 4 , 6 | (0, 2) ) = 0.3382974357721493
Saved metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/performance_metrics.json
Saved baseline metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/pag_vs_pag_metrics.json
Found 4 differences:
  1. Missing: 0 --- 4 (DAG: directed_ij)
  2. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
  3. Extra: 3 --- 4 (PAG: bidirected)
  4. Wrong orientation: 3 --- 6 (DAG: directed_ij, PAG: bidirected)
Found 5 partial orientation differences:
  1. Partial orientation: 0 --- 1 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/edge_comparison.txt
Found 2 differences:
  1. Missing: 0 --- 4 (DAG: directed_ij)
  2. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
Found 5 partial orientation differences:
  1. Partial orientation: 0 --- 1 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/edge_comparison_baseline.txt
Found 2 differences:
  1. Extra: 3 --- 4 (PAG: bidirected)
  2. Wrong orientation: 3 --- 6 (Reference PAG: directed_ij, PAG: bidirected)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/pag_vs_dag.png
Saved baseline figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/1/baseline_graph_adj.npy
